date,t_value
2018-01-04,0.385141938192571
2018-01-05,-0.5301711498848537
2018-01-08,-1.562909245687363
2018-01-09,-1.8130385039903358
2018-01-10,-2.2879728664520376
2018-01-11,-2.2579463173940204
2018-01-12,-1.4718631278001528
2018-01-15,-0.789867490791521
2018-01-16,-1.0209786152919806
2018-01-17,-0.7284951438448054
2018-01-18,-0.33315403515252634
2018-01-19,-0.460354626107229
2018-01-22,-1.2656277085530643
2018-01-23,-0.3959179236773646
2018-01-24,-1.0576724660938681
2018-01-25,-1.5721291258236656
2018-01-26,-1.5256300668289189
2018-01-29,-1.3282954887429963
2018-01-30,-1.2117257453382015
2018-01-31,-0.9318065328321647
2018-02-01,0.2084448629533622
2018-02-02,0.03681002488328297
2018-02-05,-0.5265576566504103
2018-02-06,0.6022058659484043
2018-02-07,0.6017159810424709
2018-02-08,0.6226226322940333
2018-02-09,2.2222545183153373
2018-02-12,1.9042834735141598
2018-02-13,0.8790648810758529
2018-02-14,-0.12738881668142799
2018-02-22,-0.2290127236310157
2018-02-23,0.04641547344678314
2018-02-26,-0.5843038697195365
2018-02-27,-0.09286609813634032
2018-02-28,0.5473314866289141
2018-03-01,0.7491546755884442
2018-03-02,1.169190405577509
2018-03-05,0.9738023644096206
2018-03-06,0.9724611316139666
2018-03-07,1.6240200732058723
2018-03-08,2.196672095255321
2018-03-09,1.6266348008143328
2018-03-12,0.880755108276428
2018-03-13,1.2661101271339366
2018-03-14,1.2570052369608329
2018-03-15,1.8019573513202374
2018-03-16,1.8649334449377337
2018-03-19,1.4072423930770936
2018-03-20,1.0472796007303093
2018-03-21,1.5137539297381848
2018-03-22,1.3824592458936695
2018-03-23,3.5865721369658026
2018-03-26,3.6736296363309333
2018-03-27,2.972386557158701
2018-03-28,3.295109565127323
2018-03-29,3.110584868697946
2018-03-30,3.3402113770652084
2018-04-02,3.0326628379676954
2018-04-03,3.4647077132223445
2018-04-04,3.9280274859306936
2018-04-09,3.6475037082475303
2018-04-10,3.341145970106466
2018-04-11,2.9057177318948737
2018-04-12,2.7366397457849945
2018-04-13,2.3487087264762807
2018-04-16,2.378203942430181
2018-04-17,3.0929014797323227
2018-04-18,2.3642986375354362
2018-04-19,2.2774071270525167
2018-04-20,2.0952284031110495
2018-04-23,2.3855510957829344
2018-04-24,1.5832685779306055
2018-04-25,1.6985613297567437
2018-04-26,1.713399790732296
2018-04-27,1.9748659959356092
2018-05-02,1.482312345518661
2018-05-03,1.0771841909232482
2018-05-04,1.5047849653503027
2018-05-07,1.0817375656574195
2018-05-08,0.783137374561035
2018-05-09,0.4067877096578738
2018-05-10,-0.5620865391645334
2018-05-11,0.2504403681673772
2018-05-14,0.6073873669332999
2018-05-15,-0.3209684948245447
2018-05-16,-0.9756194078744996
2018-05-17,-1.6485394520963939
2018-05-18,-1.7449372303771769
2018-05-21,-2.8120117325157223
2018-05-22,-2.88286438761672
2018-05-23,-2.7886666547589685
2018-05-24,-2.6602073488729077
2018-05-25,-3.0311131928733857
2018-05-28,-2.4872941736489085
2018-05-29,0.787784010506498
2018-05-30,1.2182897904448364
2018-05-31,1.3702301884182264
2018-06-01,2.219254175694181
2018-06-04,2.1704819090108693
2018-06-05,0.7329751651362584
2018-06-06,-0.7082600303735712
2018-06-07,0.005106676095973101
2018-06-08,-0.14768549527530006
2018-06-11,1.440553850764862
2018-06-12,0.9189835022018744
2018-06-13,0.954883898615839
2018-06-14,1.2541463653817775
2018-06-15,2.963437977626071
2018-06-19,3.7931337053449177
2018-06-20,4.327433221720093
2018-06-21,1.0851647372466409
2018-06-22,1.2651393106720197
2018-06-25,1.0449441315748258
2018-06-26,0.03782689056050146
2018-06-27,0.012881709453382323
2018-06-28,0.06841464563340295
2018-06-29,-1.6294525528687966
2018-07-02,-1.6478490935536236
2018-07-03,-2.505738844908065
2018-07-04,-2.8344935849893496
2018-07-05,-4.3318044223772425
2018-07-06,-3.8694413591697194
2018-07-09,-2.8936084135153664
2018-07-10,-3.1853580546875486
2018-07-11,-3.0154190774491374
2018-07-12,-3.89814423260669
2018-07-13,-3.80430707061198
2018-07-16,-3.856319336114445
2018-07-17,-4.228767283042096
2018-07-18,-4.2794513423431955
2018-07-19,-4.497336082969025
2018-07-20,-4.7880572032353825
2018-07-23,-3.280086199213478
2018-07-24,-4.015407789600629
2018-07-25,-2.756935774752055
2018-07-26,-1.3242359058413329
2018-07-27,-0.2147963814667359
2018-07-30,0.3468587596015338
2018-07-31,0.29108489109413255
2018-08-01,-0.345947045542976
2018-08-02,-0.9312675642451018
2018-08-03,-0.5750301182939938
2018-08-06,2.064904295378634
2018-08-07,1.492206764082869
2018-08-08,3.606770296408571
2018-08-09,1.736025961428998
2018-08-10,0.25309888032265787
2018-08-13,-1.434542860447521
2018-08-14,-1.9737336338807001
2018-08-15,-2.70718937565813
2018-08-16,-3.1872490550042767
2018-08-17,-1.3681062257781553
2018-08-20,-0.5525127061840395
2018-08-21,-2.18120828688616
2018-08-22,-1.2248919309204458
2018-08-23,-1.4698700511113023
2018-08-24,-2.1439061272844038
2018-08-27,-3.2022423185204607
2018-08-28,-5.08890467133196
2018-08-29,-6.48667735647184
2018-08-30,-5.61773122400231
2018-08-31,-5.206506748924991
2018-09-03,-6.225031460385143
2018-09-04,-4.8785528686365325
2018-09-05,-2.6421884109465825
2018-09-06,-3.808083282984569
2018-09-07,-5.673249815475589
2018-09-10,-6.469636338377746
2018-09-11,-4.749997119030435
2018-09-12,-3.1949269551107187
2018-09-13,-2.9433819057761377
2018-09-14,-2.035823575807971
2018-09-17,-1.7705311947740139
2018-09-18,-2.5219208011176977
2018-09-19,-2.909876007325487
2018-09-20,-2.227257716360571
2018-09-21,-2.5079635867103622
2018-09-25,-2.46227840498304
2018-09-26,-2.1856146712148043
2018-09-27,-2.77309647611554
2018-09-28,-2.498869101554327
2018-10-08,-1.5948937055461878
2018-10-09,-1.299584910950665
2018-10-10,-3.0077498761975936
2018-10-11,-1.564311693167883
2018-10-12,-1.8677001370154542
2018-10-15,-1.3666575798468812
2018-10-16,-1.1695708579405861
2018-10-17,-0.36424955873431414
2018-10-18,0.0016301124994368304
2018-10-19,-1.128419437810161
2018-10-22,-1.0649043759062777
2018-10-23,-0.5256790214886695
2018-10-24,-1.0175546502463793
2018-10-25,-0.9240056530293166
2018-10-26,-0.36177392581244894
2018-10-29,0.7700603878033614
2018-10-30,0.29160437513280163
2018-10-31,0.018534174621764227
2018-11-01,0.37222317970184665
2018-11-02,-0.7053071044885291
2018-11-05,1.2593746056800772
2018-11-06,-0.15272428614370964
2018-11-07,-0.06198964062560585
2018-11-08,-1.3294030488590565
2018-11-09,2.8978536478545873
2018-11-12,1.6465577973203693
2018-11-13,2.238589030872733
2018-11-14,0.48298048181071324
2018-11-15,-0.6866253591550219
2018-11-16,-1.3930854501581382
2018-11-19,-1.2875388360604298
2018-11-20,-1.1045205782465743
2018-11-21,-2.7881691148582943
2018-11-22,-2.339968014521884
2018-11-23,-2.01512405377503
2018-11-26,-1.6626850429420856
2018-11-27,-2.8143615301854124
2018-11-28,-3.821207981377536
2018-11-29,-3.777617918146774
2018-11-30,-4.533441760935331
2018-12-03,-5.648350382272369
2018-12-04,-5.512405412224402
2018-12-05,-5.663572362294812
2018-12-06,-4.4272753939617875
2018-12-07,-5.213997518435947
2018-12-10,-4.216096287350571
2018-12-11,-5.649374475742333
2018-12-12,-4.488901417069398
2018-12-13,-4.752857588209165
2018-12-14,-4.316225923919133
2018-12-17,-3.014309694468652
2018-12-18,-2.3809848955760557
2018-12-19,-2.700311209346174
2018-12-20,-1.896733491710783
2018-12-21,-0.7315386720958018
2018-12-24,-0.4448440503136656
2018-12-25,-1.027152679374076
2018-12-26,-0.8534777902050273
2018-12-27,-1.1525791078432548
2018-12-28,-0.48599604502037713
2019-01-02,1.3628782496912886
2019-01-03,2.418864145151927
2019-01-04,3.4125501734707067
2019-01-07,0.7469970395593373
2019-01-08,1.1290009777778443
2019-01-09,1.7862973937035302
2019-01-10,1.0773039335049286
2019-01-11,1.5212761719003713
2019-01-14,2.124798105147186
2019-01-15,3.875585819380039
2019-01-16,4.63465370663549
2019-01-17,8.375497318669053
2019-01-18,4.913353150536242
2019-01-21,8.606137316687526
2019-01-22,8.65796639456598
2019-01-23,5.676663099089812
2019-01-24,5.789517517177246
2019-01-25,5.884798942080154
2019-01-28,5.831111137195457
2019-01-29,5.944057215613849
2019-01-30,5.57162564271505
2019-01-31,5.923867853707063
2019-02-01,5.318547280862962
2019-02-11,4.928643720563497
2019-02-12,4.167954063926525
2019-02-13,3.869625209114518
2019-02-14,4.115125970330119
2019-02-15,4.395147713402713
2019-02-18,3.840405959189182
2019-02-19,3.961281249498522
2019-02-20,4.290413577397674
2019-02-21,4.210754769306375
2019-02-22,2.5579199616859154
2019-02-25,-1.755161935134867
2019-02-26,1.207814475472073
2019-02-27,-0.19586649907203355
2019-02-28,0.32920179189494125
2019-03-01,1.4408085234963144
2019-03-04,0.6400696391261507
2019-03-05,0.04276477650348978
2019-03-06,-0.8008934251022977
2019-03-07,-1.2476865480199575
2019-03-08,0.4122964601244211
2019-03-11,-0.24434528556547344
2019-03-12,-0.5539184424081014
2019-03-13,-0.4825202743701248
2019-03-14,1.439500342257246
2019-03-15,0.9930435420403911
2019-03-18,0.9392970289714503
2019-03-19,1.418647537460993
2019-03-20,2.3445591144240336
2019-03-21,1.5444766780698505
2019-03-22,1.8696916902572207
2019-03-25,0.7045853673120657
2019-03-26,0.7147299900518668
2019-03-27,-0.1137861636311197
2019-03-28,0.04165503656371756
2019-03-29,-1.1237102297843995
2019-04-01,-1.9067889658938624
2019-04-02,-1.8980474747247615
2019-04-03,-2.1832509887942315
2019-04-04,-1.0589359376242689
2019-04-08,-2.6505695169017094
