date,t_value
2018-06-05,-1.3717362029321056
2018-06-06,-1.4015126444583246
2018-06-07,-2.068220571549358
2018-06-08,-2.437653288658469
2018-06-11,-2.6078742376776365
2018-06-12,-3.0669109123331486
2018-06-13,-3.0310484931938233
2018-06-14,-3.0300297962097513
2018-06-15,-3.6420661424396017
2018-06-19,-4.923779741118061
2018-06-20,-6.643544980826165
2018-06-21,-6.732661685634224
2018-06-22,-4.983690408553735
2018-06-25,-5.596254931832388
2018-06-26,-3.881382327270329
2018-06-27,-3.3608414421153907
2018-06-28,-1.6291375780229207
2018-06-29,-0.2930093835255913
2018-07-02,0.020902079107748883
2018-07-03,1.2873836371024374
2018-07-04,1.2338472092461388
2018-07-05,1.2021989940041098
2018-07-06,0.888736698251204
2018-07-09,-0.2644694960371258
2018-07-10,0.4755809675110048
2018-07-11,0.3044590995604765
2018-07-12,0.9897872311363979
2018-07-13,0.8285733816866463
2018-07-16,0.9673781792229684
2018-07-17,0.8111721804415463
2018-07-18,0.33270297988361697
2018-07-19,-0.5984073636275442
2018-07-20,0.22966411722152047
2018-07-23,0.5392238079157943
2018-07-24,0.08339179469343691
2018-07-25,0.8594450141485482
2018-07-26,0.43326786389303995
2018-07-27,0.4713658934162397
2018-07-30,-2.1466888248308895
2018-07-31,-2.369156547545746
2018-08-01,-1.0010753467021143
2018-08-02,-0.576788961554619
2018-08-03,-0.9337165589275161
2018-08-06,-3.7406677530034296
2018-08-07,-3.5578892965408406
2018-08-08,-5.999944672155642
2018-08-09,-4.6674345858903035
2018-08-10,-2.366971678385426
2018-08-13,-0.23278142498559498
2018-08-14,0.34731770114987737
2018-08-15,1.5441280374685749
2018-08-16,1.8428927963914912
2018-08-17,1.005194440039252
2018-08-20,0.9595769689202244
2018-08-21,2.142757452040873
2018-08-22,2.0866026043873753
2018-08-23,1.9147981086350605
2018-08-24,2.5899907924711423
2018-08-27,2.8226272145527185
2018-08-28,3.7295404068739137
2018-08-29,4.710234430256229
2018-08-30,4.735273982113063
2018-08-31,4.078269254434938
2018-09-03,3.6231156973446947
2018-09-04,2.9451892781206355
2018-09-05,1.3640518590369364
2018-09-06,1.3954207159959935
2018-09-07,2.507159339754072
2018-09-10,2.117940410892118
2018-09-11,1.0323537336186497
2018-09-12,0.5866961939886131
2018-09-13,0.23837386558726945
2018-09-14,-0.29878069444446737
2018-09-17,-0.17099999592317777
2018-09-18,0.3672681758892621
2018-09-19,0.3709655242569695
2018-09-20,0.06048235148488679
2018-09-21,0.49378334743343927
2018-09-25,0.8048043732764201
2018-09-26,0.671523116388061
2018-09-27,1.3404334686842978
2018-09-28,1.4359658608514254
2018-10-08,0.9713688249800865
2018-10-09,0.4350086702705142
2018-10-10,0.6460372572339766
2018-10-11,0.23024075287648907
2018-10-12,0.0006540485184942673
2018-10-15,-0.11379421293245556
2018-10-16,0.8756140260349216
2018-10-17,-0.6566258673618123
2018-10-18,-0.03911764450206814
2018-10-19,1.271487092596545
2018-10-22,2.046893674734065
2018-10-23,1.6138913016659562
2018-10-24,1.9092507954537068
2018-10-25,1.1334795851427752
2018-10-26,1.0462345557286794
2018-10-29,0.3341865705340461
2018-10-30,-0.451596712739435
2018-10-31,-1.320449702480929
2018-11-01,-0.7783531576534752
2018-11-02,0.30907243948153207
2018-11-05,0.7240569611351843
2018-11-06,1.1521282088320624
2018-11-07,1.6472382732800315
2018-11-08,1.4196553754696353
2018-11-09,0.48882853962456957
2018-11-12,1.5691162182312697
2018-11-13,1.4671469032104905
2018-11-14,-0.6097795611886244
2018-11-15,0.04277288244354834
2018-11-16,-0.4757516738571879
2018-11-19,-0.9976483930316622
2018-11-20,0.8333524006618319
2018-11-21,-0.5027862665526615
2018-11-22,-0.48558686342382756
2018-11-23,1.058468759334276
2018-11-26,1.894051434512293
2018-11-27,1.1147574652578196
2018-11-28,1.108866596941626
2018-11-29,1.2678089439544076
2018-11-30,1.3659702336019013
2018-12-03,0.7029573977257614
2018-12-04,3.3383988847122823
2018-12-05,2.5600135569383933
2018-12-06,2.8746789704907956
2018-12-07,3.0208553438758305
2018-12-10,4.144454393166918
2018-12-11,2.898138596381592
2018-12-12,3.3613509131446553
2018-12-13,2.7962107996217345
2018-12-14,0.7919958362803365
2018-12-17,1.24998689458508
2018-12-18,2.2650386301475924
2018-12-19,2.812003751195514
2018-12-20,2.8240777358950035
2018-12-21,2.094028469494125
2018-12-24,0.8079780633522599
2018-12-25,-0.4739231441252236
2018-12-26,-0.7023704756001906
2018-12-27,-1.2734636297901056
2018-12-28,-1.3093482992615493
2019-01-02,-0.6247353713800609
2019-01-03,-0.11924458534884172
2019-01-04,-1.5110005960463746
2019-01-07,-1.684097690372192
2019-01-08,-1.5059869414936182
2019-01-09,-1.796002718025328
2019-01-10,-1.1401685120465261
2019-01-11,-0.3055436504004389
2019-01-14,-0.34066860377092767
2019-01-15,-0.3818756435572279
2019-01-16,1.2581392345029012
2019-01-17,2.0540691762905046
2019-01-18,1.7468756654043482
2019-01-21,0.7976545186940536
2019-01-22,1.1650454778099495
2019-01-23,1.7538765155484903
2019-01-24,0.03966002125408468
2019-01-25,-0.8213798964367561
2019-01-28,-1.135624512627261
2019-01-29,-2.610574172904
2019-01-30,-2.908418248210259
2019-01-31,-2.9221556594877653
2019-02-01,-2.5817630193539887
2019-02-11,-2.3090624705663814
2019-02-12,-1.8544960452298611
2019-02-13,-1.9528670363761542
2019-02-14,-1.5766734580558257
2019-02-15,-2.0195472629365585
2019-02-18,-0.8897409247122157
2019-02-19,-1.2347108950679444
