date,t_value
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-29,
2018-01-30,0.047700606477298096
2018-01-31,-0.3369250492178159
2018-02-01,-0.3568808634470981
2018-02-02,-0.6810181234209259
2018-02-05,0.14976239873748895
2018-02-06,-0.46532943119844805
2018-02-07,-0.7251153959815615
2018-02-08,-0.31240014208037586
2018-02-09,-0.385805311895434
2018-02-12,-0.8516507340942169
2018-02-13,-0.8406304458717918
2018-02-14,-0.6886896406814863
2018-02-22,-0.23346221583290236
2018-02-23,-0.15665834281744065
2018-02-26,-0.39152210778603463
2018-02-27,-0.7388756494367614
2018-02-28,-0.351236328673617
2018-03-01,-1.1552340426758927
2018-03-02,-0.8221621219352132
2018-03-05,-1.3330810271535645
2018-03-06,-1.225482922852403
2018-03-07,-1.0323594963598999
2018-03-08,-0.8614936113529718
2018-03-09,-0.7554030699854836
2018-03-12,-1.1068414360979348
2018-03-13,0.6645086053299906
2018-03-14,1.4992191242629755
2018-03-15,2.459017466992097
2018-03-16,2.701637436352283
2018-03-19,1.8283165008257682
2018-03-20,1.9719014551874727
2018-03-21,2.8892409348287953
2018-03-22,2.931375803589173
2018-03-23,2.7385734755952442
2018-03-26,2.848941478880938
2018-03-27,1.8735697057635816
2018-03-28,2.1126747042700864
2018-03-29,2.558095262027188
2018-03-30,2.3371946333326425
2018-04-02,1.799524364243131
2018-04-03,2.2720084744917264
2018-04-04,1.738831180491292
2018-04-09,1.6497797311159228
2018-04-10,1.8393982617660538
2018-04-11,1.9835915029761788
2018-04-12,1.9586523078611786
2018-04-13,1.7720539929060386
2018-04-16,1.437607865885487
2018-04-17,1.502482380938524
2018-04-18,0.023806308363415633
2018-04-19,0.06324644216023463
2018-04-20,-0.30270961383875483
2018-04-23,-0.20130639967078928
2018-04-24,-0.4826928002712499
2018-04-25,-0.43378908321480925
2018-04-26,-0.6946401243280528
2018-04-27,-0.4150730454005898
2018-05-02,-0.07779839805206712
2018-05-03,-0.1296187443158553
2018-05-04,-0.1712353813406783
2018-05-07,-0.16318081553273014
2018-05-08,-0.04807883060988103
2018-05-09,0.06542931088028693
2018-05-10,0.277130802851584
2018-05-11,0.19648284023337587
2018-05-14,0.11220331583383793
2018-05-15,-0.07852096532722498
2018-05-16,-0.4526048693724352
2018-05-17,-0.2987965844919301
2018-05-18,-0.3244964809075018
2018-05-21,-0.2786824760046321
2018-05-22,-0.15895925564881433
2018-05-23,-0.3695716050705581
2018-05-24,-0.0027993221814675328
2018-05-25,0.7654098625648523
2018-05-28,1.0126680405756634
2018-05-29,0.8911570883161353
2018-05-30,0.7652840682908598
2018-05-31,0.6199394990312778
2018-06-01,0.3610968121004709
2018-06-04,0.8429266704774364
2018-06-05,0.7997883491936926
2018-06-06,0.13462110868258736
2018-06-07,0.3268865801150016
2018-06-08,0.2553989057199828
2018-06-11,-0.8162059911353627
2018-06-12,-0.9566904968964927
2018-06-13,-1.1225695030990575
2018-06-14,-1.0954588362443718
2018-06-15,-1.251258553194879
2018-06-19,-1.5838208203432877
2018-06-20,-1.1914372612626045
2018-06-21,-1.5910802467869432
2018-06-22,-1.3767728839973974
2018-06-25,-1.7490572274154932
2018-06-26,-1.9861743067730908
2018-06-27,-0.47853881997402115
2018-06-28,-0.07382082624922828
2018-06-29,0.09278275987825209
2018-07-02,0.5927728806331982
2018-07-03,0.5708281874428114
2018-07-04,0.31249963078154325
2018-07-05,0.07325567830990773
2018-07-06,0.2985949562280948
2018-07-09,0.9648134852281313
2018-07-10,0.5744979478585753
2018-07-11,0.638159925130104
2018-07-12,0.45739064250918654
2018-07-13,0.5242224953192246
2018-07-16,0.6220012228861234
2018-07-17,0.47527830642057756
2018-07-18,0.4332238079468173
2018-07-19,0.412051099292938
2018-07-20,0.02730676730393516
2018-07-23,-0.2139979603914811
2018-07-24,-0.25532272303222636
2018-07-25,0.10646332016119595
2018-07-26,0.6850415502055917
2018-07-27,1.5463634064969385
2018-07-30,1.4761541419980255
2018-07-31,1.3934098149849674
2018-08-01,1.0872722416804976
2018-08-02,0.6992260270186468
2018-08-03,0.9943695082004846
2018-08-06,2.5178535099788832
2018-08-07,2.2236229371630047
2018-08-08,3.1172804624200254
2018-08-09,2.8340609636035436
2018-08-10,2.053858773061269
2018-08-13,0.9608557964702277
2018-08-14,0.38693357163327
2018-08-15,-0.11113896347695404
2018-08-16,-0.20730282454974866
2018-08-17,0.8011895429824557
2018-08-20,1.0375436244491587
2018-08-21,0.4214969596733426
2018-08-22,0.443377469764194
2018-08-23,0.2570273624203235
2018-08-24,0.458016061469147
2018-08-27,0.10945370999522412
2018-08-28,-0.3829303496542742
2018-08-29,-0.39862257318374056
2018-08-30,-0.614816921514567
2018-08-31,-0.5016043793270887
2018-09-03,-0.8060672995063062
2018-09-04,-1.144231365386433
2018-09-05,-0.3909886399601252
2018-09-06,-0.5018573849820187
2018-09-07,-0.5122681351548058
2018-09-10,-0.7255886151142448
2018-09-11,0.2457887022624998
2018-09-12,1.090570307325009
2018-09-13,1.2326109009224782
2018-09-14,1.5928648335296467
2018-09-17,1.9618467527639456
2018-09-18,1.7443770902186542
2018-09-19,2.0899169743047237
2018-09-20,2.4823975098882034
2018-09-21,2.4571343839811433
2018-09-25,2.6278630729269317
2018-09-26,2.6053886818023257
2018-09-27,2.6469884040826948
2018-09-28,2.9913764264136815
2018-10-08,3.023050496556688
2018-10-09,3.166590260016096
2018-10-10,2.8135899344623465
2018-10-11,2.761643578116018
2018-10-12,2.8516688672375614
2018-10-15,2.931157606918565
2018-10-16,2.6864401794385047
2018-10-17,2.3936191033959813
2018-10-18,1.9520460214218116
2018-10-19,1.3760743762024275
2018-10-22,1.5974891856745066
2018-10-23,0.9475124302431769
2018-10-24,0.7669267749214355
2018-10-25,0.4068632023628766
2018-10-26,0.5236454441025445
2018-10-29,0.9213346543388867
2018-10-30,0.6030676220074671
2018-10-31,0.9485452802607036
2018-11-01,1.1009515319493073
2018-11-02,1.8744464060371981
2018-11-05,1.539489089893571
2018-11-06,3.00552752845919
2018-11-07,3.1230721856725174
2018-11-08,3.6321738011588702
2018-11-09,2.8213734492190894
2018-11-12,3.025654517002791
2018-11-13,2.6304584538363063
2018-11-14,0.9993325905686181
2018-11-15,0.7024145575778241
2018-11-16,0.12957681597802637
2018-11-19,0.09594808483695087
2018-11-20,0.6749533773000144
2018-11-21,0.8195003835868206
2018-11-22,0.6755242544623876
2018-11-23,0.8634301029594651
2018-11-26,0.8901810057018712
2018-11-27,1.0510707627725013
2018-11-28,1.4157200773965348
2018-11-29,2.0613574315102694
2018-11-30,2.571518697791924
2018-12-03,2.779608606492567
2018-12-04,1.8750391910446684
2018-12-05,1.6803682547748997
2018-12-06,1.9786730868985738
2018-12-07,2.0740499758251936
2018-12-10,2.3004556351972707
2018-12-11,2.1005860761694124
2018-12-12,2.590891461415986
2018-12-13,2.667761140984008
2018-12-14,2.111228966640973
2018-12-17,2.0414849519122487
2018-12-18,2.0076117551841732
2018-12-19,2.0262238002439785
2018-12-20,1.5407900178211158
2018-12-21,0.9996989188845018
2018-12-24,0.020694688989703412
2018-12-25,-0.48764441644080636
2018-12-26,0.9602459280252502
2018-12-27,1.46218010765691
2018-12-28,2.3704355701196893
2019-01-02,1.371687771606773
2019-01-03,0.881918415432998
2019-01-04,0.6710900316880235
2019-01-07,0.7593508560127921
2019-01-08,0.8967930601962395
2019-01-09,0.4762560220375519
2019-01-10,-0.20801915717677477
2019-01-11,-0.7022947005321657
2019-01-14,-0.015086802202423182
2019-01-15,-0.1803708236408078
2019-01-16,0.3342604112590164
2019-01-17,-0.047706120358629374
2019-01-18,-0.8212643677167117
2019-01-21,-1.3961826165338809
2019-01-22,-1.3366197470343728
2019-01-23,-1.4351538618048767
2019-01-24,-1.3931432280825822
2019-01-25,-1.7874065153572702
2019-01-28,-1.6862470283804165
2019-01-29,-1.9365724779815474
2019-01-30,-2.1958579612746556
2019-01-31,-1.8452741850390861
2019-02-01,-1.807647639339078
2019-02-11,-1.5596820483369387
2019-02-12,-1.0842451468182333
2019-02-13,-0.8974270772235396
2019-02-14,-0.830122471482067
2019-02-15,-0.6892645225616698
2019-02-18,-0.48643068958636115
2019-02-19,-0.39867626567490316
2019-02-20,-0.2687295789045404
2019-02-21,-0.33338303781405043
2019-02-22,-0.17531768226436814
2019-02-25,-0.07709051627805169
2019-02-26,-0.3115934319853199
2019-02-27,-0.16181805460305715
2019-02-28,-0.059571943787415045
2019-03-01,-1.063176076253107
2019-03-04,-0.8513303151721943
2019-03-05,-1.6876379774973407
2019-03-06,-2.290853722455619
2019-03-07,-2.504117784101365
2019-03-08,-2.439948104839303
2019-03-11,-1.848700752036436
2019-03-12,-3.166664134048764
2019-03-13,-3.0312136330696884
2019-03-14,-2.73009939599581
2019-03-15,-2.388584253741853
2019-03-18,-2.3703492328568236
